month_start,account_id,cost_center_id,budget_amount
2024-01-01,A410100,CC100,37295.86
2024-01-01,A410100,CC101,81846.25
2024-01-01,A410100,CC102,39493.6
2024-01-01,A410100,CC103,25242.21
2024-01-01,A410100,CC104,39842.42
2024-01-01,A410100,CC105,61138.27
2024-01-01,A410100,CC106,73190.17
2024-01-01,A410100,CC107,27442.21
2024-01-01,A410100,CC108,61778.69
2024-01-01,A410100,CC109,47308.1
2024-01-01,A410100,CC110,42240.45
2024-01-01,A410100,CC111,63366.23
2024-01-01,A410100,CC112,72366.73
2024-01-01,A410100,CC113,78482.33
2024-01-01,A410100,CC114,44201.53
2024-01-01,A410100,CC115,19073.75
2024-01-01,A410100,CC116,71698.08
2024-01-01,A410100,CC117,43616.39
2024-01-01,A410100,CC118,41729.82
2024-01-01,A410100,CC119,57891.7
2024-01-01,A410100,CC120,55853.21
2024-01-01,A410100,CC121,27147.98
2024-01-01,A410100,CC122,30022.74
2024-01-01,A410100,CC123,58850.78
2024-01-01,A410100,CC124,50158.06
2024-01-01,A410100,CC125,73870.44
2024-01-01,A410100,CC126,59058.81
2024-01-01,A410100,CC127,31492.63
2024-01-01,A410100,CC128,61233.93
2024-01-01,A410100,CC129,46191.51
2024-01-01,A410100,CC130,24470.63
2024-01-01,A410100,CC131,44829.79
2024-01-01,A410100,CC132,45190.08
2024-01-01,A410100,CC133,77759.54
2024-01-01,A410100,CC134,75929.76
2024-01-01,A410100,CC135,40759.12
2024-01-01,A410100,CC136,59447.71
2024-01-01,A410100,CC137,61312.7
2024-01-01,A410100,CC138,66477.21
2024-01-01,A410100,CC139,48146.32
2024-01-01,A410100,CC140,38731.74
2024-01-01,A410100,CC141,40110.57
2024-01-01,A410100,CC142,43268.24
2024-01-01,A410100,CC143,20805.72
2024-01-01,A410100,CC144,18879.86
2024-01-01,A410200,CC100,37643.45
2024-01-01,A410200,CC101,55489.95
2024-01-01,A410200,CC102,102035.52
2024-01-01,A410200,CC103,64121.58
2024-01-01,A410200,CC104,55065.89
2024-01-01,A410200,CC105,69756.96
2024-01-01,A410200,CC106,36837.61
2024-01-01,A410200,CC107,64199.09
2024-01-01,A410200,CC108,32381.23
2024-01-01,A410200,CC109,24004.24
2024-01-01,A410200,CC110,40216.23
2024-01-01,A410200,CC111,16918.12
2024-01-01,A410200,CC112,52211.77
2024-01-01,A410200,CC113,38657.92
2024-01-01,A410200,CC114,59605.47
2024-01-01,A410200,CC115,43584.12
2024-01-01,A410200,CC116,32071.7
2024-01-01,A410200,CC117,10489.83
2024-01-01,A410200,CC118,78060.45
2024-01-01,A410200,CC119,64572.74
2024-01-01,A410200,CC120,29596.1
2024-01-01,A410200,CC121,76197.58
2024-01-01,A410200,CC122,52959.92
2024-01-01,A410200,CC123,35633.96
2024-01-01,A410200,CC124,31193.36
2024-01-01,A410200,CC125,47471.31
2024-01-01,A410200,CC126,68450.12
2024-01-01,A410200,CC127,54262.01
2024-01-01,A410200,CC128,37031.75
2024-01-01,A410200,CC129,52733.66
